Enter name of dump file: f got: fs, but expected |?
S.A. got: S.A.s, but expected |?
ho got: hoes, but expected |?
po got: poes, but expected 
Th got: Ths, but expected |?
es got: eses, but expected |esses
zuchetto got: zuchettoes, but expected 
pe got: pes, but expected |?
rho got: rhoes, but expected 
zoöphaga got: zoöphagas, but expected |?
co. got: co.s, but expected |?
laurustine got: laurustines, but expected |?
loggets got: loggetses, but expected |?
condemned got: condemneds, but expected |condemned
basic word: strange got: stranges, but expected |-
toro got: toroes, but expected |s|toro
kaj got: kajs, but expected |kaj
Ph.D. got: Ph.D.s, but expected |?
MediaWiki:Edittools got: MediaWiki:Edittoolses, but expected 
esophagus got: esophaguses, but expected |esophagi
power-up got: powers-up, but expected |head=[[power]]-[[up]]
good-for-nothing got: goods-for-nothing, but expected |head=[[good]]-[[for]]-[[nothing]]
Turkmen got: Turkmen, but expected 
parma got: parmas, but expected |parmae
lumen got: lumen, but expected |lumens|lumina
Mahorais got: Mahoraises, but expected |?
tesla got: teslas, but expected |tesla
hold over got: holds over, but expected 
show off got: shows off, but expected 
show-off got: shows-off, but expected |head=[[show]]-[[off]]
turn up got: turns up, but expected 
flux got: flux, but expected |es
Ibo got: Iboes, but expected 
stand-in got: stands-in, but expected |head=[[stand]]-[[in]]
Ilocano got: Ilocanoes, but expected 
diamonds got: diamondses, but expected |diamonds
promo got: promoes, but expected 
ach got: aches, but expected 
Moses got: Moses, but expected |?
tuna got: tuna, but expected 
gris-gris got: gris-grises, but expected |?
pizzicato got: pizzicatoes, but expected |s|pizzicati
fair got: fairs, but expected |fair
apollo got: apolloes, but expected 
cos got: coses, but expected |?
cocoa got: cocoas, but expected |?
dis got: dises, but expected |disses
fo got: foes, but expected 
pale got: pales, but expected |?
stamen got: stamen, but expected |stamens|stamina
BBS got: BBSs, but expected |es
achromatin got: achromatins, but expected |?
achromatization got: achromatizations, but expected |?
UV-EPROM got: UV-EPROMs, but expected |?
5000
ersatz got: ersatzzes, but expected |ersatzes
pachinko got: pachinkoes, but expected 
avis got: avises, but expected |?
navicula got: naviculas, but expected |naviculae
cembalo got: cembaloes, but expected |cembalos|cembali
defunct got: defuncts, but expected |?
ee got: ees, but expected |een
urbs got: urbses, but expected |urbes
pons got: ponses, but expected |pontes
vulnus got: vulnuses, but expected |vulnera
xiphias got: xiphiases, but expected |?
homunculus got: homunculuses, but expected |homunculi
knock about got: knocks about, but expected 
xenium got: xeniums, but expected |xenia
lyra got: lyras, but expected |?
vermis got: vermises, but expected |vermes
anthropophagus got: anthropophaguses, but expected |anthropophagi
latus got: latuses, but expected |latera
lento got: lentoes, but expected 
mano got: manoes, but expected 
big up got: bigs up, but expected 
semi-weekly got: semi-weeklys, but expected |semi-weeklies
py got: pies, but expected |?
pyro got: pyroes, but expected 
topo got: topoes, but expected 
chupacabras got: chupacabrases, but expected |chupacabras
iso got: isoes, but expected 
qualify got: qualifies, but expected |?
pluma got: plumas, but expected |plumae
largo got: largoes, but expected 
ren got: rens, but expected |es
mos got: moses, but expected |mores
pagina got: paginas, but expected |paginae
lingua got: linguas, but expected |linguae
labium got: labiums, but expected |labia
she-wolf got: she-wolfs, but expected |she-wolves
tendo Achillis got: tendo Achillises, but expected |?
M�?ori got: M�?oris, but expected |?
candy floss got: candy flosses, but expected |?
acumen got: acumen, but expected 
intro got: introes, but expected 
mezzo got: mezzoes, but expected 
adorn got: adorns, but expected |?
omen got: omen, but expected 
raro got: raroes, but expected |?
patois got: patoises, but expected |patois
fils got: filses, but expected |?
agape got: agapes, but expected |agapae
agenda got: agenda, but expected 
allay got: allays, but expected |?
lobo got: loboes, but expected 
Chamorro got: Chamorroes, but expected 
pedo got: pedoes, but expected 
amen got: amen, but expected 
abyssus got: abyssuses, but expected |?
anglo got: angloes, but expected 
absentia got: absentias, but expected |?|absentiae
numero got: numeroes, but expected |?
VHS got: VHSs, but expected |es
politburo got: politburoes, but expected 
watch in two got: watches in two, but expected |?
ayo got: ayoes, but expected |?
sai got: sais, but expected |sai
thrombus got: thrombuses, but expected |thrombi
leven got: levens, but expected |?
ADD got: ADDs, but expected |?
poly got: polies, but expected |polys
punto got: puntoes, but expected 
coma got: comae, but expected 
uppercase got: uppercases, but expected |?
adiaphoron got: adiaphorons, but expected |adiaphora
nono got: nonoes, but expected 
depart got: departs, but expected |?
nous got: nouses, but expected |?
giros got: giroses, but expected |giros
atomus got: atomuses, but expected |atomi
bistro got: bistroes, but expected 
tech got: teches, but expected 
palazzo got: palazzoes, but expected |s|palazzi
antipasto got: antipastoes, but expected 
square inch got: square inchs, but expected |es
yakuza got: yakuzas, but expected |yakuza
moderato got: moderatoes, but expected 
legato got: legatoes, but expected 
diminuendo got: diminuendoes, but expected 
ostinato got: ostinatoes, but expected |s|ostinati
ufo got: ufoes, but expected 
fortissimo got: fortissimoes, but expected |s|fortissimi
pianissimo got: pianissimoes, but expected |s|pianissimi
allegretto got: allegrettoes, but expected 
willy-willy got: willy-willys, but expected |willy-willies
pax got: paxes, but expected |?
media got: mediums, but expected |mediae
cuatro got: cuatroes, but expected 
nox got: noxes, but expected |nox
colonus got: colonuses, but expected |coloni
nomen got: nomen, but expected |nomina
amicus got: amicuses, but expected |amici
manus got: manuses, but expected |manus
epoch got: epoches, but expected 
Jim Crow got: Jim Crows, but expected |?
dominus got: dominuses, but expected |domini
fractus got: fractuses, but expected |fracti
albo got: alboes, but expected |albos
bizarro got: bizarroes, but expected 
genu got: genus, but expected |genua
forebode got: forebodes, but expected |?
impure s got: impure ses, but expected |?
ego got: egoes, but expected 
spawn got: spawns, but expected |spawn
veg got: veges, but expected |s|veg
ord got: ords, but expected |?
perineum got: perineums, but expected |perinea
Abbasi got: Abbasis, but expected |?
abo got: aboes, but expected 
porta got: portas, but expected |portae
acalephe got: acalephes, but expected |?
cmavo got: cmavoes, but expected |cmavo
smoko got: smokoes, but expected 
permeate got: permeates, but expected |?
cleistogamy got: cleistogamies, but expected |?
shinjitai got: shinjitais, but expected |shinjitai
roux got: rouxes, but expected |roux
monde got: mondes, but expected |?
ule got: ules, but expected |?
pseudopenis got: pseudopenises, but expected |pseudopenes
eques got: equeses, but expected |equites
north by northeast got: norths by northeast, but expected |?
east by northeast got: easts by northeast, but expected |?
trans got: transes, but expected |?
tren got: trens, but expected |?
occident got: occidents, but expected |?
olf got: olves, but expected 
cauf got: caufs, but expected |cauves
dos a dos got: dos a doses, but expected |?
Yamato got: Yamatoes, but expected 
blanc got: blancs, but expected |?
dracunculus got: dracunculuses, but expected |dracunculi
positive degree got: positive degrees, but expected |?
acture got: actures, but expected |?
agitato got: agitatoes, but expected 
azedarach got: azedaraches, but expected 
ayle got: ayles, but expected |?
ayuntamiento got: ayuntamientoes, but expected 
axle box got: axle boxs, but expected |es
trema got: tremas, but expected |tremata
avens got: avenses, but expected |avens
avoirdupois got: avoirdupoises, but expected |?
y-axis got: y-axises, but expected |y-axes
z-axis got: z-axises, but expected |z-axes
drill down got: drills down, but expected 
fra got: fras, but expected |?
zo got: zoes, but expected 
mecomtronics got: mecomtronicses, but expected |mecomtronics
parapraxis got: parapraxises, but expected |parapraxes
caninus got: caninuses, but expected |canini
apoapsis got: apoapses, but expected |apoapsides
periapsis got: periapses, but expected |periapsides
saga got: saga, but expected 
bro got: broes, but expected 
ahlspiess got: ahlspiesses, but expected |ahlspiessen
pease got: peases, but expected |peasen
deaf got: deaves, but expected 
banns got: bannses, but expected |banns
take up got: takes up, but expected 
zho got: zhoes, but expected 
dzo got: dzoes, but expected 
bull-bitch got: bull-bitchs, but expected |head=[[bull]]-[[bitch]]|es
eromenos got: eromenoses, but expected |eromenoi
erastes got: erasteses, but expected |erastai
tupo got: tupoes, but expected 
biotech got: bioteches, but expected 
go-to got: goes-to, but expected 
Dr got: Drs, but expected |?
Pres got: Preses, but expected |?
petra got: petras, but expected |?
eye of the beholder got: eye of the beholders, but expected |?
ronin got: ronins, but expected |ronin
op. got: op.s, but expected |?
pondus got: ponduses, but expected |?
mitta got: mittas, but expected |?
abogado got: abogadoes, but expected 
habanero got: habaneroes, but expected 
acinaces got: acinaceses, but expected |acinaci
adagietto got: adagiettoes, but expected 
oats got: oatses, but expected |oats
sit-up got: sits-up, but expected 
tallevas got: tallevases, but expected |?
beth hamidrash got: beth hamidrashs, but expected |?
jack-knife got: jack-knifes, but expected |head=[[jack]]-[[knife]]|jack-knives
manefaire got: manefaires, but expected |?
lei got: lei, but expected 
brivla got: brivlas, but expected |brivla
res got: res, but expected |es
ens reale got: entia realia, but expected |?
lituus got: lituuses, but expected |litui
battle-ax got: battle-axs, but expected |es
basic word: worse got: worses, but expected |?
silver fox got: silver foxs, but expected |es
shalwar kameez got: shalwar kameezs, but expected |?
toledo got: toledoes, but expected 
yen got: yens, but expected |yen
cathexis got: cathexises, but expected |cathexes
lock in got: locks in, but expected 
lock out got: locks out, but expected 
enact got: enacts, but expected |?
opera got: opuses, but expected |s|opere
kokuji got: kokujis, but expected |kokuji
honcho got: honchoes, but expected 
virtuosa got: virtuosas, but expected |?
arcus senilis got: arcus senilises, but expected |?
coz got: cozes, but expected |?
hentai got: hentais, but expected |hentai
YTD got: YTDs, but expected |?
jo got: joes, but expected 
10000
nicker got: nickers, but expected |nicker
quid got: quid, but expected 
backward got: backwards, but expected |?
womyn got: womyns, but expected |womyn|wymyn
arvo got: arvoes, but expected 
hongi got: hongis, but expected |?
puro got: puroes, but expected 
alamo got: alamoes, but expected 
amino got: aminoes, but expected 
anarch got: anarches, but expected 
arroyo got: arroyoes, but expected 
bolo got: boloes, but expected 
cony got: conys, but expected |conies
dole got: doles, but expected |?
fro got: froes, but expected 
gabbro got: gabbroes, but expected 
hilum got: hilums, but expected |hila
hymen got: hymen, but expected 
ileum got: ileums, but expected |ilea
kudo got: kudoes, but expected 
lutz got: lutzzes, but expected |es
mambo got: mamboes, but expected 
nones got: noneses, but expected |nones
pas got: pases, but expected |pas
penna got: pennas, but expected |pennae
pleura got: pleura, but expected |pleurae
prim got: prims, but expected |?
romano got: romanoes, but expected 
rumen got: rumen, but expected |rumina|rumens
servo got: servoes, but expected 
spitz got: spitzzes, but expected |es
tad got: tads, but expected |?
tas got: tases, but expected |tasses
tofus got: tofuses, but expected |tofi
tuber got: tuberes, but expected 
tupelo got: tupeloes, but expected 
mix up got: mixes up, but expected 
oblique arch got: oblique archs, but expected |es
oblique motion got: oblique motions, but expected |?
oblique speech got: oblique speechs, but expected |?
oblique step got: oblique steps, but expected |?
avow got: avows, but expected |?
dehors got: dehorses, but expected |?
etch got: etches, but expected |?
glans got: glanses, but expected |plqual=rare|glans|glandes
grand got: grands, but expected |grand
hep got: heps, but expected |?
indetermination got: indeterminations, but expected |?
pry got: pries, but expected |?
monkey humping a football got: monkey humping a footballs, but expected |?
slice got: slice, but expected 
solitary got: solitaries, but expected |?
splice got: splice, but expected 
toxotes got: toxoteses, but expected |toxotai
ring-man got: ring-mans, but expected |head=[[ring]]-[[man]]|ring-men
IRL got: IRLs, but expected |?
edaphology got: edaphologies, but expected |?
soil classification got: soil classifications, but expected |?
macaco got: macacoes, but expected 
PBX got: PBXs, but expected |es
diptych got: diptyches, but expected 
triptych got: triptyches, but expected 
maki got: makis, but expected |maki
quantum got: quantums, but expected |quanta
priapus got: priapuses, but expected |priapi
perihelion got: perihelions, but expected |perihelia
piccolo got: piccoloes, but expected 
ootheca got: oothecas, but expected |oothecae
alms got: almses, but expected |alms
pen and ink got: pen and inks, but expected |?
two and eight got: two and eights, but expected |?
garbanzo got: garbanzoes, but expected 
remis got: remises, but expected |?
EDNOS got: EDNOSs, but expected |?
SOS got: SOSs, but expected |?
patriarch got: patriarches, but expected 
matriarch got: matriarches, but expected 
midfall got: midfalls, but expected |?
zobo got: zoboes, but expected 
boliviano got: bolivianoes, but expected 
diablo got: diabloes, but expected 
mentum got: mentums, but expected |menta
encephalitis got: encephalitises, but expected |encephalitides
hierarch got: hierarches, but expected 
biro got: biroes, but expected |biros
cholo got: choloes, but expected 
scritch got: scritches, but expected |?
claustration got: claustrations, but expected |?
hesperidium got: hesperidiums, but expected |hesperidia
mon got: mons, but expected |?
pomodoro got: pomodoroes, but expected |s|pomodori
diabolo got: diaboloes, but expected 
sit up got: sits up, but expected 
happy-clappy got: happy-clappys, but expected |head=[[happy]]-[[clap]]py|happy-clappies
spaghetto got: spaghettoes, but expected |spaghetti
butt-fucking got: butt-fuckings, but expected |head=[[butt]]-[[fucking]]|?
efflux got: efflux, but expected |es
wapanese got: wapaneses, but expected |wapanese
fi got: fis, but expected |?
ARPU got: ARPUs, but expected |?
rum got: rums, but expected |?
meh got: mehs, but expected |?
POST got: POSTs, but expected |?
zampone got: zampones, but expected |zamponi
zecchino got: zecchinoes, but expected |s|zecchini
zinco got: zincoes, but expected 
zingaro got: zingaroes, but expected |s|zingari
ladino got: ladinoes, but expected 
Ilokano got: Ilokanoes, but expected 
bain-marie got: bain-maries, but expected |bains-maries
prepare got: prepares, but expected |?
zoccolo got: zoccoloes, but expected |s|zoccoli
digitus got: digituses, but expected |digiti
zufolo got: zufoloes, but expected |s|zufoli
descanso got: descansoes, but expected 
bobo got: boboes, but expected 
CASE got: CASEs, but expected |?
concerto got: concertoes, but expected |s|concerti
positive zero got: positive zeros, but expected |es
electronics got: electronicses, but expected |electronics
leg before wicket got: legs before wicket, but expected 
duomo got: duomoes, but expected |s|duomi
garda got: gardas, but expected |gardai
Test match got: Test matchs, but expected |es
first class match got: first class matchs, but expected |es
dermis got: dermises, but expected |?
iconstasis got: iconstases, but expected |iconostases
habena got: habenas, but expected |habenae
bottom order got: bottom orders, but expected |?
falls got: fallses, but expected |falls
drongo got: drongoes, but expected 
standby got: standbies, but expected 
dero got: deroes, but expected 
r. got: r.s, but expected |?
caught behind got: caughts behind, but expected 
modulus got: moduluses, but expected |moduli
gumba got: gumbas, but expected |?
ananas got: ananases, but expected |ananasses
wash up got: washes up, but expected 
abbozzo got: abbozzoes, but expected |abbozzi
deep midwicket got: deep midwickets, but expected |?
burrito got: burritoes, but expected 
dyno got: dynoes, but expected 
fire watch got: fire watchs, but expected |es
capita got: capitas, but expected |?
spazz got: spazzzes, but expected |spazzes
randy got: randies, but expected 
jun got: juns, but expected |jun
temenos got: temenoses, but expected |temenoi|temene
ICAO spelling alphabet got: ICAO spelling alphabets, but expected |?
grudge match got: grudge matchs, but expected |es
bambino got: bambinoes, but expected |s|bambini
mulai got: mulais, but expected |?
busted flush got: busted flushs, but expected |es
MSDS got: MSDSs, but expected |?
half-life got: half-lifes, but expected |head=[[half]]-[[life]]|half-lives
parish church got: parish churchs, but expected |es
reit got: reits, but expected |?
isotach got: isotaches, but expected 
gonzo got: gonzoes, but expected 
15000
quale got: quales, but expected |qualia
pick up truck got: picks up truck, but expected 
logos got: logos, but expected |logoi
blintz got: blintzzes, but expected |es
klutz got: klutzzes, but expected |es
prophylaxis got: prophylaxises, but expected |prophylaxes
Sati got: Satis, but expected |?
ides got: ideses, but expected |ides
mantissa got: mantissas, but expected |mantissae
board-foot got: board-foots, but expected |head=[[board]]-[[foot]]|board-feet
ditz got: ditzzes, but expected |es
avo got: avoes, but expected 
cryptospora got: cryptosporas, but expected |?
basto got: bastoes, but expected |?
puukko got: puukkoes, but expected |s|puukot
lungo got: lungoes, but expected 
boto got: botoes, but expected 
mitzva got: mitzvas, but expected |mitzvot
bufo got: bufoes, but expected 
buko got: bukoes, but expected 
anaptyxis got: anaptyxises, but expected |anaptyxes
kiss-up got: kisses-up, but expected |head=[[kiss]]-[[up]]
brio got: brios, but expected |?
endomysium got: endomysiums, but expected |endomysia
perimysium got: perimysiums, but expected |perimysia
epimysium got: epimysiums, but expected |epimysia
drive-in got: drives-in, but expected 
harass got: harasses, but expected |?
CNC got: CNCs, but expected |?
mondo got: mondi, but expected 
porporino got: porporinoes, but expected |?
black box got: black boxs, but expected |es
Skinner box got: Skinner boxs, but expected |es
one-to-one got: some-to-one, but expected |head=[[one]]-[[to]]-[[one]]
quango got: quangoes, but expected 
pillar box got: pillar boxs, but expected |es
pastel got: pastels, but expected |es
five-for got: fives-for, but expected |head=[[five]]-[[for]]
follow on got: follows on, but expected 
E=mc² got: E=mc²s, but expected |?
pris got: prises, but expected |?
nid got: nids, but expected |nid
bozo got: bozoes, but expected 
auto-da-fe got: auto-da-fes, but expected |autos-da-fe
break-in got: breaks-in, but expected 
monkey wrench got: monkey wrenchs, but expected |es
cisterna magna got: cisterna magnas, but expected |?
sweets got: sweetses, but expected |sweets
hetero got: heteroes, but expected 
fo'c'sle got: fo'c'sles, but expected |?
bêche-de-mer got: bêche-de-mers, but expected |?
zorro got: zorroes, but expected 
stretto got: strettoes, but expected |s|stretti
synophrys got: synophryses, but expected |?
Provo got: Provoes, but expected 
terakihi got: terakihis, but expected |?
dromos got: dromoses, but expected |dromoi
sassenach got: sassenaches, but expected 
piss-up got: pisses-up, but expected |head=[[piss]]-[[up]]
OSPF got: OSPFs, but expected |?
mycelium got: myceliums, but expected |mycelia
enlightened got: enlighteneds, but expected |enlightened
AFK got: AFKs, but expected |?
asteriscus got: asteriscuses, but expected |asterisci
flamen got: flamen, but expected |s|flamines
confessio got: confessios, but expected |confessiones
break down got: breaks down, but expected 
giro got: giroes, but expected 
lunch box got: lunch boxs, but expected |es
chino got: chinoes, but expected 
aviatrix got: aviatrixes, but expected |aviatrices
uguisubari got: uguisubaris, but expected |uguisubari
boardinghouse reach got: boardinghouse reachs, but expected |es
synamphoteron got: synamphoterons, but expected |?
superphylum got: superphylums, but expected |superphyla
Plutarch got: Plutarches, but expected 
notturno got: notturnoes, but expected |s|notturni
send off got: sends off, but expected 
ogle got: oglys, but expected 
uggo got: uggoes, but expected 
lie-in got: lies-in, but expected |head=[[lie]]-[[in]]
flatline got: flatlines, but expected |?
kourotrophos got: kourotrophoses, but expected |kourotrophoi
oz got: ozzes, but expected |oz
camerlengo got: camerlengoes, but expected 
operandum got: operandums, but expected |operanda
dekko got: dekkoes, but expected 
foul out got: fouls out, but expected 
lay-in got: lays-in, but expected |head=[[lay]]-[[in]]
martello got: martelloes, but expected 
fino got: finoes, but expected 
basa got: basas, but expected |basa
obbligato got: obbligatoes, but expected |s|obbligati
ludo got: ludoes, but expected 
warm-up got: warms-up, but expected |head=[[warm]]-[[up]]
commis got: commises, but expected |commis
one up got: some up, but expected 
one-up got: some-up, but expected 
prefrosh got: prefroshes, but expected |prefrosh
get-up got: gets-up, but expected |head=[[get]]-[[up]]
tawny got: tawnies, but expected |?
home stretch got: home stretchs, but expected |es
chill out got: chills out, but expected 
seventh inning stretch got: seventh inning stretchs, but expected |es
waxworks got: waxworkses, but expected |waxworks
fly-half got: fly-halfs, but expected |head=[[fly]]-[[half]]|fly-halves
knock-on got: knocks-on, but expected |head=[[knock]]-[[on]]
rayon got: rayons, but expected |?
crapula got: crapulas, but expected |crapulae
wo got: woes, but expected 
blow-by-blow got: blows-by-blow, but expected 
sola got: solas, but expected |?
svn got: svns, but expected |?
nullius filius got: nullius filiuses, but expected |?
em dash got: em dashs, but expected |es
en dash got: en dashs, but expected |es
what for got: whats for, but expected 
grounds got: groundses, but expected |grounds
haha got: hahas, but expected |?
antilipo got: antilipoes, but expected 
blow-up got: blows-up, but expected 
tenuto got: tenutoes, but expected |s|tenuti
billingsgate got: billingsgates, but expected |?
witness box got: witness boxs, but expected |es
comport got: comports, but expected |?
hot lunch got: hot lunchs, but expected |es
nota bene got: nota benes, but expected |?
disconsolate got: disconsolates, but expected |?
booby-hatch got: booby-hatchs, but expected |head=[[booby]]-[[hatch]]|es
hard-on got: hards-on, but expected 
write-down got: writes-down, but expected |head=[[write]]-[[down]]
write-off got: writes-off, but expected |head=[[write]]-[[off]]
childe got: childes, but expected |?
Seebeck effect got: Seebeck effects, but expected |?
Vaseline got: Vaselines, but expected |?
ballot box got: ballot boxs, but expected |es
Johnny got: Johnnies, but expected 
disturb got: disturbs, but expected |?
flitter-mouse got: flitter-mouses, but expected |head=[[flitter]]-[[mouse]]|flitter-mice
altiplano got: altiplanoes, but expected 
matt got: matts, but expected |?
cumulo-nimbus got: cumulo-nimbuses, but expected |cumulo-nimbi
dipso got: dipsoes, but expected 
sister-wife got: sister-wifes, but expected |head=[[sister]]-[[wife]]|sister-wives
cocus got: cocuses, but expected |?
campo got: campoes, but expected 
abbr. got: abbr.s, but expected |?
kalis got: kalises, but expected |?
ancilla got: ancillas, but expected |ancillae
homeslice got: homeslice, but expected 
yoyo got: yoyoes, but expected 
first down got: firsts down, but expected 
hand-off got: hands-off, but expected 
free-for-all got: frees-for-all, but expected |head=[[free]]-[[for]]-[[all]]
check box got: check boxs, but expected |es
packed lunch got: packed lunchs, but expected |es
polyzoarium got: polyzoariums, but expected |polyzoaria
shojo got: shojoes, but expected 
e-dictionary got: e-dictionarys, but expected |e-dictionaries|head=[[e-]][[dictionary]]
resto got: restoes, but expected 
sexto got: sextoes, but expected 
primo got: primoes, but expected 
boro got: boroes, but expected 
one fat lady got: one fat ladys, but expected |?
top of the shop got: top of the shops, but expected |?
EMS got: EMSs, but expected |?
ordo got: ordoes, but expected |ordines|ordos
heft got: hefte, but expected 
mandibula got: mandibulas, but expected |mandibulae
centrum got: centrums, but expected |centra
superego got: superegoes, but expected 
Oedipus complex got: Oedipus complexs, but expected |es
pubis got: pubises, but expected |pubes
mons pubis got: mons pubises, but expected |?
meta-analysis got: meta-analysises, but expected |meta-analyses
buy-in got: buys-in, but expected |head=[[buy]]-[[in]]
underprivileged got: underprivilegeds, but expected |underprivileged
heart to heart got: hearts to heart, but expected 
anthocaulus got: anthocauluses, but expected |anthocauli
cock-up got: cocks-up, but expected 
stereoisomerism got: stereoisomerisms, but expected |?
banco got: bancoes, but expected |?
cento got: centoes, but expected |centos|centones
centrale got: centrales, but expected |centralia
morning after got: mornings after, but expected 
come-on got: comes-on, but expected |head=[[come]]-[[on]]
scanno got: scannoes, but expected 
PO box got: PO boxs, but expected |es
autecology got: autecologies, but expected |?
teraph got: teraphs, but expected |teraphim
pandaemonium got: pandaemoniums, but expected |pandaemonia
dis-ease got: dis-eases, but expected |head=[[dis-]][[ease]]|?
incognito got: incognitoes, but expected 
agitatrix got: agitatrixes, but expected |agitatrices
hypo got: hypoes, but expected 
print-out got: prints-out, but expected 
Joe Bloggs got: Joe Bloggses, but expected |?
aspis got: aspises, but expected |aspides
azalai got: azalais, but expected |?
built-in got: builts-in, but expected 
demiurgus got: demiurguses, but expected |demiurgi
